play,comments,danmu,favorites,coins
1264,13,84,5,11
49,0,0,0,0
1732,68,112,38,212
941,8,26,7,0
35,0,0,2,0
463,5,12,51,3
86,0,1,1,0
64,9,9,8,15
316,3,15,16,4
19,0,0,0,0
219,43,6,2,3
114,1,1,3,2
488,14,4,5,2
72,6,41,1,4
14,0,0,1,0
14,1,0,2,0
55,1,0,3,0
4120,20,36,18,12
11,0,0,0,0
80511,112,856,231,31
173,1,8,9,0
128,3,3,16,2
43,0,1,0,1
177,2,2,13,6
234,4,2,5,3
25,2,0,1,0
54,0,1,1,0
131,14,9,0,13
326,7,1,1,8
1708,13,39,10,4
93,5,5,3,10
162,0,0,35,0
125,21,19,11,57
29,1,1,4,2
6,0,0,0,0
9,4,1,0,2
37,1,0,2,1
211,13,9,9,22
1659,9,3,8,6
371,0,2,6,1
145,0,11,6,3
92680,231,658,1026,122
264,3,14,10,5
32,3,0,4,0
522,3,5,4,1
19,0,9,0,2
147,19,4,31,7
865,27,156,61,32
1858,50,59,24,32
7,0,0,0,0
637,4,11,43,8
694,8,40,19,2
160,0,11,5,1
341,17,4,0,0
8,0,3,0,0
81,3,4,2,4
225,2,1,1,0
36,2,0,2,1
85,6,2,1,3
74603,1248,2734,803,1808
118,4,1,2,6
637,2,18,17,5
570,1,3,13,0
296,5,36,22,23
677,5,25,41,14
390,9,88,14,5
59,1,0,1,0
355,0,0,18,0
4304,22,44,67,42
266,3,11,12,15
364,11,4,8,25
83,1,2,6,3
114,0,1,3,0
124,5,4,1,6
4,0,0,0,0
43,2,4,0,3
202,16,54,23,4
339,1,0,16,1
637,15,78,32,68
168,6,5,2,0
115,2,4,5,1
167,1,7,2,0
12,0,0,0,0
547,26,7,118,14
173,2,1,3,7
321,2,8,22,11
75,2,0,4,0
101,3,0,0,0
207,4,8,6,0
56,5,0,4,1
111,6,2,14,3
62,2,0,12,3
25,0,1,0,0
1230,3,15,3,2
310,3,0,7,8
109,12,1,0,2
6,0,0,0,0
110,1,3,6,1
283,8,2,16,8
19296,101,284,1791,415
351,0,2,10,1
31,0,0,0,0
1464,15,51,5,27
20,2,2,0,1
9,0,3,0,0
216,2,34,2,5
147,3,2,0,2
197,0,1,1,0
481,0,3,18,0
182,5,2,2,2
297,11,12,1,2
726,2,4,6,0
493,5,39,20,1
43,0,0,0,0
1001,16,11,71,1
3695,7,5,78,6
48,0,0,5,3
156,0,1,2,1
123,10,3,0,15
173,1,6,10,2
275,8,6,34,5
2467,112,156,140,196
253,3,2,1,3
153,0,2,3,0
651,33,248,52,131
248,1,35,6,4
155,5,5,7,4
1182,5,22,3,3
132,3,1,1,2
567,73,85,58,92
969,48,169,18,51
87,2,0,0,2
181,0,0,5,0
719,35,21,16,25
14,0,0,0,0
168,0,0,11,1
873,5,31,20,2
130,4,14,3,12
47,4,1,13,0
219,2,5,3,1
756,8,26,46,30
30,0,0,0,0
86,0,0,5,0
136,4,2,0,2
233603,532,916,6909,1452
113,0,2,4,2
51,0,0,0,0
2,0,0,0,0
509,8,4,2,2
126,2,2,3,0
160,5,0,0,1
156,4,7,5,2
329,6,99,43,16
33,1,0,0,0
1558,8,17,14,4
23,5,2,1,4
152,9,15,24,4
616,3,1,1,0
93,1,5,0,2
857,15,31,8,8
232,4,12,8,2
9,1,0,2,2
137,2,0,5,0
41,5,1,1,5
106,0,0,0,2
183,3,6,26,2
149,19,1,9,2
40,0,0,1,0
133,1,6,9,3
1389,5,32,110,19
829,25,26,87,9
23,1,0,0,2
16274,66,482,69,192
256,2,3,1,0
17,0,2,0,3
98,3,1,1,1
1072,14,11,31,38
49251,294,372,543,948
7,1,0,0,0
66,6,0,1,1
102,2,1,1,0
14,1,1,0,0
30,6,1,0,3
2547,12,84,12,1
56,0,2,0,0
2348,9,42,126,6
34,0,0,0,0
23368,76,103,103,37
3528,7,33,56,5
56,0,1,2,0
3,0,0,0,0
387,11,12,5,8
292,13,9,24,23
3162,12,128,12,6
821,7,2,11,5
85,5,3,2,5
184,1,1,1,1
107,1,3,1,1
549,9,4,16,9
104,0,2,5,5
141,2,0,2,0
28,0,0,1,2
819,21,36,61,17
2163,60,317,141,21
1423,5,16,2,5
35,3,0,2,6
54,2,1,0,0
39,2,1,0,4
99,2,1,4,2
466,2,7,7,0
8742,25,7,115,5
1736,10,50,27,3
3035,16,6,4,3
20,3,6,0,2
79,1,0,2,0
121,4,24,6,0
644,1,6,37,3
151,1,5,4,0
15,0,0,0,0
125,8,2,2,0
44,0,59,0,0
92,1,1,8,0
220,1,2,1,0
28,1,0,1,0
521,3,2,58,5
35901,128,521,387,85
17,3,0,1,2
2350,38,24,13,23
492,0,0,3,0
24,0,0,0,0
184,10,6,6,6
342,6,12,28,6
89,1,0,1,6
2802,10,73,76,2
163,2,6,18,4
27,0,0,2,0
49,0,0,0,0
3037,5,20,95,2
1584,8,24,10,14
724,6,20,14,11
166,2,2,14,1
102,5,26,1,16
183,19,42,14,32
693,6,25,37,14
46,0,0,1,2
947,2,13,18,2
136,0,2,5,3
43,0,0,0,1
19,2,0,0,0
73,2,1,10,2
63,0,0,0,0
4284,45,142,311,104
138,4,13,4,9
14,0,0,0,0
275,2,7,11,2
235,2,1,4,0
16,0,0,0,0
2233,27,20,205,10
783,0,26,7,0
12,0,0,0,0
489,3,7,11,4
24,0,0,0,0
35,1,0,1,2
79,0,1,2,1
265,1,4,4,0
133,3,0,0,1
54,2,4,0,2
92,6,4,0,1
27,0,3,0,0
37,0,0,2,1
26,4,0,0,1
236,1,5,15,5
311,0,1,21,1
20,0,0,0,0
3761,92,294,823,134
4282,34,74,46,27
940,4,12,6,2
27,0,0,0,0
222,2,10,3,3
93,0,0,0,0
167,0,9,8,5
33,0,0,1,0
