play,comments,danmu,favorites,coins
1499,15,201,55,4
110,1,1,11,0
256,0,19,11,3
12608,37,151,653,80
536,15,15,16,11
264,0,25,22,2
114,13,2,0,6
164,7,12,2,14
30,0,0,0,0
215,3,4,4,3
107,18,14,9,7
506,1,6,24,1
17,0,0,0,0
396,18,3,5,16
16,0,0,0,0
644,10,45,67,4
31,0,3,0,0
107,2,1,5,0
630,2,3,10,1
62,1,3,0,2
297,9,20,7,13
56,0,0,4,0
1158,3,13,44,3
569,0,4,21,1
1550,16,36,101,9
154,4,8,10,6
128,1,0,1,0
660,16,46,9,22
108,2,2,0,2
526,18,19,32,35
6676,67,624,42,32
73,0,0,1,0
1627,34,13,23,26
1053,35,69,58,57
216,5,9,1,20
504,1,10,10,5
162,0,4,1,6
247,2,9,5,1
30,4,9,0,8
28,0,0,0,0
4140,13,127,56,3
30,5,2,0,0
79,0,0,0,0
33,0,0,0,0
251,0,1,3,0
32,1,1,0,0
17,0,0,0,0
565,0,3,17,3
273,1,1,2,0
33436,111,278,558,205
482,22,9,7,3
76,0,0,0,0
10,0,0,0,0
1164,4,1,1,0
26,1,0,0,0
42,0,0,0,0
262,3,4,35,3
20,9,5,0,6
105,0,1,1,0
50,0,1,0,0
5,1,0,0,0
13,2,0,0,0
1182,2,1,13,0
931,11,6,47,3
25,0,0,0,0
452,2,3,10,2
44,0,0,0,2
63,0,0,1,0
92,4,0,0,0
95,2,5,4,2
1154,4,3,38,0
199,22,3,9,12
11,3,0,0,2
9789,157,692,247,149
167,3,4,9,3
41,0,2,1,0
34,1,2,1,0
23140,218,239,125,21
110,1,0,3,0
36,1,1,6,2
487,6,15,17,7
44,1,0,2,0
61,7,2,1,4
423,6,22,40,5
17,0,0,0,0
387,33,32,7,16
2938,12,68,79,0
1756,8,61,122,80
7,0,0,0,0
5219,12,38,27,6
32,3,0,1,2
4012,27,58,97,29
2578,46,116,42,69
218,11,17,8,13
103,9,0,3,2
399,7,12,19,5
3649,13,79,117,8
12,5,0,1,0
31,1,0,0,0
396,2,2,6,0
104,3,8,3,4
28,4,0,0,0
134,10,5,9,13
1141,18,80,74,19
840,9,14,30,14
168,0,0,0,2
777,13,397,49,12
240,1,5,1,0
80,4,3,1,0
69,2,0,1,1
142,1,6,5,0
1298,6,58,86,4
142,3,4,0,2
126,2,11,13,6
9038,31,734,427,301
91,7,1,0,2
21,1,0,0,0
27,0,1,0,0
5193,61,1126,220,8
4219,20,80,156,0
21,2,0,0,0
98,1,2,15,2
150,0,17,5,4
142,3,6,1,0
96,1,1,14,0
20,0,1,1,0
406,1,10,3,2
230,7,1,1,1
427,9,20,22,3
1088,2,15,21,1
78,0,0,0,0
23,1,2,0,0
1083,14,30,5,7
258,37,4,50,4
386,9,14,7,2
225,1,5,3,1
356,38,10,35,19
268,2,1,6,1
40,4,1,0,0
793,17,22,8,36
1143,18,33,34,14
39,0,0,1,0
22,1,0,1,2
21649,112,386,225,147
67,0,5,4,1
24,4,0,0,0
19,0,2,0,1
186,3,14,10,9
30,0,0,3,2
1549,5,23,40,5
18603,310,738,1487,1661
359,8,5,3,6
23,0,0,0,0
237,10,4,9,4
148,5,11,16,5
60,17,7,2,6
12,0,0,0,0
350,52,23,61,13
88,10,5,3,9
84,1,0,2,0
124,9,4,8,11
153,1,8,15,3
118217,420,2169,6853,3383
254,2,8,6,1
60,0,2,1,0
942,11,30,5,17
171,1,3,3,1
6709,166,222,479,225
208,0,5,10,5
433,4,24,28,8
15304,59,179,119,10
1098,2,42,17,1
289,3,25,13,10
2443,25,39,82,8
30,0,0,0,0
295,19,31,35,54
1703,57,70,170,17
451,9,5,7,9
215,0,0,7,0
11,0,3,0,0
42,3,7,0,11
50113,504,2931,2689,3151
14,0,0,0,0
3032,45,103,97,58
33,8,12,4,11
14,0,0,0,0
941,9,5,5,8
38,4,12,0,3
948,6,4,34,7
253,21,121,10,23
736,13,27,18,11
57,0,0,0,0
68,8,3,0,1
17,3,1,0,5
58,4,0,1,2
27003,81,580,386,152
870,2,13,65,2
116,1,1,6,0
398,10,28,28,20
730,9,33,10,8
72,6,6,0,2
1158,2,9,62,3
189,3,25,8,6
20,0,0,2,0
56,0,0,0,1
178,0,2,19,4
272,74,11,31,32
146,0,12,3,2
6,0,0,1,0
222,9,57,4,14
81,1,0,6,0
62,1,1,0,0
96,1,0,5,0
28336,53,383,887,12
49,5,2,4,3
75,2,4,2,1
19,0,0,0,0
70,10,6,1,2
42,0,0,0,0
141,2,1,3,1
6578,11,97,58,34
26,1,0,0,0
787,4,30,14,1
67,1,1,0,0
215,13,13,3,11
13,0,0,0,0
66,2,0,1,5
150,8,2,0,7
36,1,0,1,1
448,9,4,26,4
229,6,0,15,3
250,4,1,0,1
39,2,0,0,0
57,1,0,0,1
245,8,9,6,5
444,49,22,47,21
84,2,2,9,3
2242,14,81,145,18
319,1,45,12,4
11,0,0,0,0
330,1,0,15,2
26,0,0,2,1
571,17,22,4,13
7778,117,584,37,175
101,1,0,2,0
291,4,3,3,2
167,2,8,2,1
416,33,25,17,50
17,0,0,0,0
194,16,12,23,9
2170,25,139,81,6
40,0,0,1,0
124,0,4,4,4
66,1,0,5,3
1103,1,1,2,1
12,0,0,0,1
50,0,0,4,0
61,11,2,3,2
927,2,1,4,0
100,4,15,5,3
25291,49,40,563,54
3,3,0,0,0
408,3,5,21,0
22,1,0,1,0
84,5,1,0,2
104,1,0,6,4
718,2,26,0,3
1176,14,83,10,68
26,0,0,2,0
28,1,1,0,4
892,6,1,123,4
64,0,1,8,6
39,0,0,0,0
103,6,1,17,0
4215,19,156,175,48
1212,13,21,35,5
28,0,19,3,6
137,1,3,2,0
23,1,1,0,0
18,0,0,0,0
2116,7,128,100,15
338,13,14,2,6
11,0,0,0,0
107,3,1,11,3
305138,2871,26869,906,386
61,2,6,1,3
1113,2,10,40,4
25779,280,1510,139,215
392,4,20,22,19
208,3,3,74,7
116,1,2,1,4
31,1,1,1,0
76,2,3,2,3
1373,2,3,33,3
65,0,1,9,0
210,3,1,1,12
93,6,1,10,3
277,5,16,4,6
1781,6,42,18,1
536,2,20,30,3
401,5,6,7,1
28,2,17,0,2
2914,31,102,81,57
127,7,0,7,1
7782,155,502,26,305
383,1,0,6,0
1383,12,40,11,2
2027,1,11,24,2
145,3,7,4,11
956,10,26,51,38
272,6,2,9,12
24,0,0,0,2
59,1,5,0,2
1375,7,190,37,10
2686,45,23,41,17
848,9,56,16,7
39,0,40,2,2
269,0,0,2,1
586,3,1,2,2
237231,2269,4000,16290,11501
438,4,0,2,0
115,2,13,0,0
223,13,6,27,5
369,21,10,25,34
53,4,0,0,2
21,1,0,0,0
183,0,2,6,3
3385,65,172,189,259
579,5,22,5,1
92,0,0,3,0
2651,14,58,22,5
318,44,95,28,43
609,17,13,129,15
23,0,3,1,2
15,0,0,0,0
1745,4,44,173,19
379,21,3,0,5
96,7,3,1,5
119,1,5,1,0
101,2,11,8,7
742,28,23,15,70
688,2,10,17,2
136,2,0,2,0
172,2,1,0,0
674,0,1,32,1
218,2,4,3,2
10,0,0,0,0
19945,130,440,250,44
54,8,8,0,2
85,0,0,8,0
183,1,7,2,0
33,0,0,0,0
314,3,6,8,1
58,0,0,5,1
205,7,3,15,6
883,6,48,33,6
182,1,2,9,3
6,0,0,0,0
73,1,0,5,1
53,0,1,0,0
199,5,1,12,7
14,0,0,1,1
153,0,2,2,2
109,1,25,1,0
3883,5,26,105,13
927,0,1,2,1
590,9,10,39,9
182,0,2,4,0
44,1,0,0,6
297,3,2,1,0
6617,25,196,120,17
128,1,3,0,2
456,13,51,0,17
830,5,13,60,8
39,0,0,0,0
283,14,12,6,2
1177,23,113,109,51
172,3,8,6,3
1248,1,19,64,5
39,0,1,5,0
693,4,5,173,2
52,0,2,3,2
1701,3,24,25,8
1203,2,10,51,3
400,7,24,12,14
2325,18,31,43,2
15,0,0,0,0
714,1,19,10,0
251,0,1,4,0
45,1,0,2,0
33,0,0,1,0
1928,1,37,83,1
142,2,5,11,2
21042,153,376,2074,75
77905,836,2471,6535,1731
96,3,7,1,2
186,1,4,2,14
21,0,1,0,0
283,10,5,44,2
107,11,12,3,21
16,1,1,0,2
53,0,0,1,0
840,19,18,92,22
170,7,0,0,4
324,4,4,11,0
1328,11,106,6,11
447,29,10,91,7
46,2,5,0,2
100,1,1,6,0
94,2,9,10,9
687,1,129,47,2
285,2,4,6,3
132,3,1,2,4
30,0,0,1,0
27,0,0,0,0
22,0,2,0,0
86,3,2,15,3
328,13,27,7,21
190,7,18,22,9
61,4,1,1,5
17,7,2,1,5
307,0,6,10,1
482,8,5,8,4
785,17,138,13,62
54,4,2,1,6
1125,14,40,1,21
311,0,3,3,7
65,2,3,3,1
154,3,3,1,0
66,0,1,1,4
38,1,1,1,1
38,0,0,0,0
72,0,0,1,1
430,3,51,26,2
79,4,2,4,6
29,3,5,7,1
283,1,0,2,0
9161,227,159,194,110
377,3,5,1,4
100,2,4,0,0
516,3,10,6,4
5108,271,311,430,371
929,8,38,240,16
27,0,0,0,2
511,8,20,16,6
19,0,1,0,0
3,1,0,0,4
104,5,2,0,2
22,0,0,0,0
571,10,36,9,11
184,6,1,2,0
163,2,2,4,9
150,2,0,1,0
2215,41,37,111,92
396,8,45,14,2
1071,11,15,46,20
408,1,1,18,0
3336,30,548,190,11
1627,5,12,27,3
797,21,38,11,16
8979,102,144,223,156
159,0,16,9,2
9,0,0,1,0
60,3,2,0,4
14,0,0,0,0
210,0,2,0,0
183,0,3,15,9
78,8,10,0,6
1159,5,185,91,18
20,0,0,0,0
439,17,8,55,8
1016,17,154,51,6
234,15,20,2,12
4,0,0,0,0
138,2,0,3,4
239,0,9,2,0
384,7,41,30,28
15,0,0,0,0
8,0,0,0,0
439,5,3,6,3
668,13,6,15,14
309,3,7,0,4
50,0,14,2,0
401,20,6,3,7
56,0,3,0,1
328,2,8,12,3
256,5,7,13,1
270,51,28,4,35
507,5,12,19,7
48,0,0,0,0
54,0,2,0,2
58,0,0,3,0
2462,15,12,11,0
21,0,1,2,0
94,8,0,7,2
325,12,11,6,6
23,0,1,0,0
3049,11,20,154,17
68,0,2,3,0
22,0,1,0,1
554,2,9,8,7
99,0,0,0,0
12,0,0,0,0
1599,38,50,12,38
9,0,0,1,0
195,1,0,1,2
283,1,7,13,4
300,4,8,21,3
24,1,0,0,0
441,4,0,43,0
756,1,8,4,3
1564,2,3,4,0
3634,41,142,155,70
27,0,0,0,0
26,4,6,0,5
12,0,0,1,0
601,10,39,27,4
163,13,6,10,7
72,1,1,1,0
191,6,11,0,0
97,0,0,6,3
170,1,0,2,0
190,1,2,7,0
3703,7,38,31,0
347,9,60,6,1
102,0,0,1,0
221,1,0,0,0
42,1,2,0,0
73,0,0,2,1
85,19,3,0,3
338,6,2,1,2
68,7,3,7,0
181,19,28,1,9
46,1,0,0,2
364,12,11,21,11
216,3,0,3,0
1592,39,316,217,128
476,7,9,5,13
106,3,5,1,5
813,6,29,17,4
189,1,6,1,0
159,12,3,3,7
51,0,1,1,0
1320,4,8,10,3
38013,197,317,1301,274
21,1,0,0,0
1417,31,222,2,84
70,1,4,13,0
126,0,0,0,0
23,0,0,0,0
139,5,4,10,10
1781,1,14,3,1
394,4,8,6,1
85,6,4,8,2
3820,71,53,39,23
404,1,4,21,2
45,0,7,3,1
452,1,3,1,0
327,1,14,4,9
149,0,0,2,2
1422,16,107,11,12
556,46,100,70,81
52,1,17,0,2
37,3,5,4,8
101,1,0,0,0
57,1,0,1,0
103,0,2,1,0
19,0,0,0,0
201,9,21,1,4
174,4,3,0,2
88,1,3,4,0
1381,11,31,91,18
91,19,5,0,10
24,0,0,0,0
22,0,2,0,2
67,6,1,2,19
88,2,0,0,4
105,0,3,1,0
99,1,0,0,4
479,17,13,22,11
141,6,4,0,3
21,2,0,1,2
1524,6,29,54,5
295,8,3,4,2
1173,5,2,15,0
18,2,1,2,0
23,2,0,2,2
481,1,6,4,5
85,1,1,0,0
154,1,5,1,0
108,1,1,4,0
294,0,5,5,0
201,1,6,10,5
205,0,9,31,4
106,0,3,1,0
284,13,4,16,1
25,0,0,0,0
221,7,1,26,1
51,6,7,1,9
23,4,7,0,0
7078,56,508,32,28
1338,16,28,9,16
12,0,1,0,0
1364,17,79,69,26
61,0,1,0,4
296,4,24,11,7
107,0,0,1,0
635,3,12,18,1
384,4,21,21,17
38,0,1,2,0
1301,6,86,62,38
226,1,9,19,9
203,5,2,2,2
248,6,1,5,0
533,6,11,1,3
51,0,0,0,0
247,4,3,4,2
90,8,4,3,3
90,13,0,0,0
425,1,7,7,1
113,21,9,0,2
236,24,11,6,13
52,1,0,0,0
130,7,19,22,3
77,0,0,1,0
889,47,107,35,10
146,2,2,1,2
13701,28,50,134,8
45,15,5,5,10
79,1,0,0,0
3417,5,31,83,5
83,1,4,9,2
507,14,52,23,26
12,4,1,0,0
39,0,0,0,0
3362,39,203,5,10
80,2,0,3,0
75,0,0,2,0
235,3,8,2,0
103,3,6,4,6
881,1,6,24,0
227,4,3,11,16
102,0,0,2,1
60,7,3,1,3
868,17,12,43,34
57,0,1,0,0
143,2,0,0,0
532,11,15,5,8
1654,28,51,103,14
77,2,2,2,1
1577,11,46,132,19
1594,37,39,32,28
14,1,1,1,2
318,0,6,10,1
5490,23,295,105,17
644,8,12,20,17
2452,85,120,71,125
224,0,1,31,4
62,1,0,0,0
226,4,20,30,10
3304,78,416,510,661
252,8,77,12,0
673,5,164,82,17
74,0,0,0,0
9974,23,325,615,17
35,0,1,0,0
160,3,2,8,2
437,13,17,6,3
71,0,1,0,2
289,7,18,16,2
23,4,0,1,0
35,1,1,2,0
182068,453,1285,773,471
31,3,3,4,2
206,0,1,3,0
74,0,1,0,0
193,2,3,1,0
49,0,0,1,0
86,1,1,0,4
168,13,39,2,4
813,1,4,7,0
5043,48,81,408,107
853,6,9,2,2
941,25,155,21,62
902,0,1,2,0
2,0,0,0,0
3679,41,54,145,29
15,0,1,0,1
28,9,0,3,3
2939,7,136,97,16
47,1,0,0,9
8,1,0,0,0
22,0,0,0,0
483,0,3,1,1
65,0,0,2,0
844,10,23,21,14
30,1,0,0,0
18,0,0,1,0
1999,28,389,421,79
65,2,2,4,1
1204,20,214,8,11
421,40,27,25,56
241,3,23,10,1
178,2,0,1,0
6108,13,17,36,6
835,4,36,29,7
393,2,19,10,5
48,1,1,0,0
132,0,2,3,3
67,12,18,0,9
30,3,0,0,4
71,7,6,2,7
579,3,3,6,4
65,7,0,0,0
164,1,9,6,2
72,0,0,0,0
66,0,0,2,2
363,14,7,7,20
34,0,0,0,0
57536,698,2202,419,1512
138,5,5,2,2
3126,14,14,30,3
159,4,1,3,2
25,3,2,1,1
142,3,2,5,2
214,1,8,19,5
43,0,0,2,0
84,0,0,0,0
346,11,10,9,9
212,0,2,3,4
104,0,0,2,2
138,6,1,0,2
44,2,1,1,2
989,27,21,36,6
389,1,3,4,3
203,1,1,7,1
24,0,1,0,2
59,0,0,0,0
101,1,1,7,0
107,1,1,0,1
151,4,9,16,3
2787,18,80,94,4
863,5,14,22,13
691,7,1,12,0
86,3,9,9,6
230,3,6,10,6
396,6,5,22,2
316,0,0,8,0
45,2,0,1,1
44,0,0,0,0
13705,21,30,67,6
232,8,4,11,9
211,8,5,10,3
21,2,1,0,0
912,5,11,33,5
7,0,1,0,0
502,11,8,73,11
156,18,15,4,2
9,0,0,1,0
73,0,0,0,0
513,7,9,9,2
154,0,2,4,0
26,0,0,0,0
408,4,14,6,0
18,1,15,0,4
28,0,0,0,0
2091,5,5,24,0
20,2,1,3,0
1442,74,131,12,38
14,0,0,0,0
1072,8,28,10,5
282,22,7,6,11
142,2,1,1,1
225,31,7,7,16
840,88,184,293,91
52,1,4,3,1
77,0,0,0,0
63,0,0,2,5
134,5,3,2,5
19,0,1,0,0
49,0,0,0,0
747,18,10,11,9
255,0,0,5,1
286,14,3,2,6
410,6,0,56,4
38,0,0,1,0
71,1,2,1,2
216,6,165,3,9
172,6,5,28,1
3,0,0,0,0
45,0,0,0,1
107,0,0,2,0
59,0,0,4,0
113,0,0,1,0
4957,16,371,115,33
60930,450,1823,117,327
74,2,4,4,1
4794,68,120,115,303
573,3,81,66,10
18,0,1,2,0
311,14,26,29,25
23,0,0,0,0
21,1,0,5,0
31,2,2,1,0
2309,64,81,364,27
39,1,18,1,5
32,0,0,1,0
38,3,0,1,1
376,7,16,7,2
3826,16,67,129,6
3743,75,219,180,51
58,0,0,1,0
634,8,3,3,2
839,4,6,31,6
126,1,2,1,0
2335,56,208,100,89
13379,130,235,1095,592
2846,42,53,83,27
280,19,7,22,26
739,11,18,38,13
22,0,0,1,1
11,1,0,1,0
387,0,0,1,0
289,9,23,15,11
1101,14,45,12,12
167,14,8,4,16
103,1,0,1,3
176,25,15,8,12
185,11,4,13,2
108,0,6,3,0
19,1,0,0,2
59,8,1,3,3
607,28,37,11,24
168,2,1,0,0
1396,8,23,5,2
180,0,5,10,1
29,0,0,0,0
269,12,7,8,5
1098,13,139,20,1
115,13,1,1,4
346,2,0,18,9
7240,52,2504,506,18
80,0,0,1,0
101,2,17,4,6
231,32,12,6,36
70,7,34,0,2
61,4,3,0,0
384,3,1,4,0
31,1,0,1,0
79,7,6,1,1
176,7,42,4,17
28,0,0,0,0
1877,15,44,19,4
121,0,2,13,2
29,0,0,0,0
850,0,1,6,2
16399,786,671,2717,1815
150,1,0,0,6
348,2,1,5,2
29,0,0,0,0
13,0,0,0,0
28,0,1,0,0
317,5,2,12,1
2502,38,82,175,68
60,5,8,2,4
3,0,0,0,0
32,3,60,0,5
596,31,30,7,20
1816,2,33,111,0
2287,4,34,52,11
139,3,6,1,2
86,2,3,2,0
1124,12,4,1,1
457,3,7,13,12
728,25,14,85,7
227,1,13,10,5
62,6,67,0,0
283,7,6,2,7
11,0,0,1,0
342,6,5,8,3
1016,11,59,55,18
492,4,1,19,1
126,0,0,0,0
284,1,1,4,3
1519,10,44,80,38
120,0,8,6,3
245,1,3,2,0
231,1,8,15,10
578,12,10,2,6
304,5,38,1,21
324,2,3,4,0
259,3,4,12,0
17815,63,1569,344,78
93,3,0,0,2
56,0,0,0,0
470,13,10,8,25
250,10,10,21,4
456,4,7,15,9
225,6,19,8,1
9604,9,52,201,3
138,1,10,4,2
57,0,0,0,0
3216,27,134,18,7
1350,1,86,41,11
14306,22,256,56,13
117,5,4,0,0
1806,32,41,43,8
1147,9,17,35,4
96,0,1,1,0
765,10,5,6,2
897,11,3,5,4
90,0,0,2,0
311,1,1,3,0
52,0,0,2,0
22,0,1,0,3
37,0,0,1,0
10,0,0,0,0
68,0,0,9,0
22,0,0,1,0
196,64,15,14,32
126,2,1,7,1
80,0,3,2,0
47,2,0,0,3
286,24,12,4,10
474,22,34,7,41
384,8,12,2,1
163,6,8,0,6
103,7,7,3,32
59,16,2,13,1
10,0,0,1,3
17,1,0,0,0
306,2,2,2,0
9812,33,674,839,162
48,10,1,0,3
118,5,7,0,0
19,0,0,0,0
25,0,0,0,0
475,0,49,13,3
402,8,11,22,15
718,1,45,12,1
604,6,26,11,5
173,0,2,0,2
262,9,10,5,10
257,4,9,5,2
245,12,5,0,2
12,0,0,0,0
29,1,3,0,0
1059,7,33,15,3
59,3,0,2,1
280,0,8,3,0
69,0,2,0,2
10,0,0,0,0
44,2,0,8,0
297,0,3,2,0
1889,8,141,12,4
7,0,0,0,0
579,2,6,9,0
212,4,20,5,3
1980,12,21,61,18
2087,14,26,92,6
1865,25,29,36,32
11,0,0,0,0
67,0,2,0,0
1125,7,57,12,5
144,0,6,2,3
1161,46,119,100,135
123,1,13,8,2
141,0,0,1,3
250,0,3,2,1
598,12,11,15,6
76,0,0,0,1
84,10,0,2,4
62,6,1,4,3
355,0,10,4,0
1309,13,39,15,7
100,6,1,4,2
704,6,48,16,27
483,0,4,8,1
38,2,1,0,2
778,68,55,34,47
188,1,15,8,6
43,9,1,0,0
15,1,0,0,0
33,1,1,0,2
99,3,0,1,2
3878,31,240,361,20
21,10,7,2,6
116,10,46,1,8
508,8,4,17,3
256,2,5,22,3
716,7,2,5,0
55,2,1,4,2
351,2,2,0,0
81895,338,5924,1552,247
399,26,51,10,59
10503,130,79,665,39
101,2,15,4,2
835,17,61,87,10
396,4,5,4,0
591,4,5,0,8
88,0,1,0,0
12,0,0,0,0
10,0,0,0,0
25,0,0,0,0
256,0,2,11,3
342,33,51,48,31
320,1,0,13,0
138,2,3,21,2
191,19,4,2,5
305,15,12,15,10
266,0,0,0,0
19,0,0,0,0
472,2,7,1,0
599,1,4,0,0
99,3,0,0,1
429,1,4,13,2
193,2,9,3,5
838,5,31,13,8
86,0,3,0,8
13,0,0,0,0
11678,30,465,1148,60
5,0,0,2,0
103,0,0,4,0
33,0,0,0,0
332,23,36,38,7
91,0,1,1,0
21,2,0,4,2
141,0,1,1,0
1297,55,35,10,36
47,0,0,1,2
330,2,5,2,0
108,0,1,0,0
293,9,23,0,2
90,1,0,1,0
254,2,2,1,0
326,3,4,4,14
969,3,32,6,2
519,0,0,0,0
59,3,2,0,0
15,0,0,1,1
279,9,5,2,0
155,3,2,0,3
173,10,6,5,2
92,3,0,1,1
2286,46,66,39,19
750,1,20,38,8
135,3,3,3,0
25,0,0,2,0
8623,12,101,210,3
687,13,23,2,7
81,0,1,4,0
3569,78,170,384,235
59,0,1,3,0
439,7,35,37,3
71,5,3,9,0
898,14,26,6,7
568,12,14,63,16
18,0,0,0,0
243,0,0,10,0
49,0,2,2,1
92,0,0,2,0
2028,47,92,59,46
308,4,101,0,12
67,1,3,1,0
40,2,0,0,4
199,0,1,1,0
387,32,53,15,54
2466,2,9,94,0
433,4,7,0,2
808,2,15,81,9
3263,8,79,279,25
11,0,0,0,0
94,3,7,2,0
94,2,0,2,0
171,5,6,28,6
21,0,0,0,0
192,10,2,20,7
417,0,10,17,2
82,0,0,0,0
1374,3,9,32,2
1607,4,5,18,3
503,4,10,28,4
23,1,1,0,0
2972,124,179,97,227
57,3,2,2,4
100,2,4,7,2
104,1,1,11,3
249,5,3,2,2
33,11,1,1,4
285,1,6,12,2
101,1,27,5,4
334,4,5,7,1
200,0,2,0,0
422,5,21,15,0
76,0,1,1,0
21,0,0,2,0
116,4,9,10,5
434,33,4,3,9
210,0,0,1,1
86,3,5,0,0
34,1,0,1,0
2109,10,33,10,0
876,6,30,16,8
3264,5,31,23,8
43,4,1,1,6
35,0,0,1,0
34,0,0,0,2
755,7,57,44,4
59,0,0,0,0
61,0,59,0,0
134,0,2,0,0
10,0,2,1,2
132,22,51,3,16
418,1,19,8,2
746,9,13,24,7
79,0,0,0,0
694,2,3,37,2
176,5,5,9,12
1733,15,37,153,32
1423,5,34,5,12
83,0,0,1,0
780,2,0,0,0
163,3,1,2,0
468,0,34,19,0
466,3,3,41,9
340,6,5,25,0
181,9,23,0,6
56,1,3,4,1
550,7,11,14,8
230,8,10,12,2
159,0,0,1,0
100,0,4,5,0
41,2,3,0,0
23,0,0,0,0
1352,1,0,39,0
140,2,0,0,0
486,5,8,1,5
58,1,0,0,0
299,7,13,9,2
123,0,3,3,2
55,0,1,1,0
26,0,0,0,0
133,1,2,3,5
216,0,3,30,2
19,0,0,0,0
119,0,0,1,0
269,0,1,6,0
127,0,1,2,0
102,2,3,0,2
98,5,2,0,0
4,0,0,0,0
146,3,2,4,2
1068,3,0,12,1
124,3,3,8,0
12,0,0,0,0
109,1,0,7,0
63,4,2,0,6
33,0,0,1,0
11,0,2,0,0
250,27,20,12,24
54,11,5,2,6
80,1,1,2,2
88,0,2,7,0
447,7,20,13,1
13,0,0,0,0
57,0,0,0,0
66,3,1,9,3
9,1,0,0,0
1366,0,9,7,1
21,0,0,0,0
20,0,0,0,0
395,0,4,6,0
44,1,1,1,0
579,3,46,7,0
3385,90,165,355,211
87,0,2,0,6
269,12,4,9,5
300,4,29,10,7
342,19,24,3,32
3327,63,363,11,58
88,0,0,1,0
3030,31,97,11,18
89,0,1,14,2
61,2,1,3,0
70,7,0,5,0
9,0,0,0,0
94,0,1,0,0
22,0,0,1,0
238,16,13,4,14
689,4,17,11,2
386,0,15,20,0
41,0,0,0,0
1252,3,6,14,2
4571,21,462,287,5
66,0,13,2,0
228,6,6,0,4
772,3,3,1,0
19,1,1,1,4
229988,645,2393,1787,1566
224,20,11,6,21
22,9,7,0,6
326,4,9,55,3
53,0,0,1,0
14,0,0,0,0
36,0,0,0,2
46,0,0,0,0
35,0,2,2,4
78,0,0,1,0
208,5,35,22,0
17,4,5,0,2
46,0,3,3,0
128,0,0,12,1
16207,9,21,129,26
71,6,1,1,0
119,5,3,18,2
86,9,15,4,6
27,0,1,0,0
134,4,2,0,4
946,5,9,24,4
2682,5,29,24,29
386,1,3,28,1
83,4,2,3,2
240,1,2,2,1
13,2,0,0,0
14,3,4,1,0
2470,19,20,120,11
1,0,0,0,0
72,0,0,1,0
184,0,0,4,0
188,0,2,6,0
463,0,4,2,0
20,0,0,0,0
59,3,1,0,3
128,1,0,2,2
66,1,1,1,0
80,0,0,10,1
419,0,4,8,3
218,5,2,35,3
137,1,0,2,0
284,11,9,2,10
838,13,67,5,6
70,0,17,5,2
103,1,1,0,0
14,0,0,1,0
49,0,1,1,0
10782,67,167,264,19
12,1,0,0,0
243,7,6,3,24
76,1,0,0,0
48,2,0,0,0
888,4,24,55,9
122,0,0,10,3
270,6,2,40,1
285,1,1,0,3
144,3,6,1,3
91,1,0,1,0
327,1,2,8,0
32,1,0,0,2
108,6,1,2,0
35,0,2,0,0
226,0,0,3,0
92,3,5,8,2
1885,14,30,35,31
240,9,5,3,3
1645,26,45,107,47
287,1,4,4,1
18,1,0,0,0
674,27,32,1,3
2486,11,76,43,31
213,2,0,0,0
85,1,5,19,1
142,0,1,1,4
301,3,4,3,0
27,4,3,0,6
57,0,4,2,4
20,1,0,0,0
3,0,0,0,0
170,0,0,12,0
30,0,3,0,0
83,0,1,1,0
118,20,5,18,4
108,4,9,16,3
447,2,10,3,3
565,47,46,86,16
12,0,0,0,0
266719,1017,908,431,1358
60,11,15,0,5
66,4,7,1,4
31,3,1,0,1
59,0,0,2,0
230,10,8,43,15
1128,6,24,11,3
2089,52,49,72,87
32,3,2,0,0
94,1,0,2,0
1100,3,18,22,1
10112,116,634,367,476
565,36,35,2,27
61,3,3,2,5
1378,20,57,89,11
65669,919,3115,364,4908
87,4,3,3,3
66,8,4,7,3
62,5,1,2,1
142,1,0,3,0
52,1,0,1,5
3,0,0,0,0
10,0,0,0,0
1263,10,93,77,22
1818,3,2,4,1
47,1,0,1,0
198,3,2,6,5
754,14,86,27,1
17,3,0,1,0
166,3,4,5,2
13,1,0,0,2
50,2,1,0,2
4432,17,87,36,18
551,2,11,1,0
31,0,0,0,0
7,0,0,1,0
2,0,0,0,0
22,1,1,0,2
229,11,5,2,19
8,1,0,0,0
807,2,4,25,4
113,4,2,6,1
337,2,1,10,2
14,0,0,0,0
793,11,7,5,2
107,3,1,0,0
776,12,14,48,10
3995,121,616,220,250
15,0,0,0,0
363,16,39,11,5
59,0,0,1,0
26,0,0,0,0
73,1,0,0,0
240,0,328,18,1
9,0,0,0,0
179,3,4,6,1
169,3,2,4,4
1281,15,9,6,7
76,5,1,0,4
353,4,10,17,5
27,3,1,0,0
34,4,4,0,0
31,0,0,0,0
30,0,0,0,0
140,9,2,2,3
26,2,0,0,0
636,10,16,2,21
81,0,2,2,0
619,5,26,50,24
29,0,0,1,0
102,5,0,1,1
1058,4,2,5,0
38,0,0,0,0
164,0,0,0,0
167,0,0,2,1
877,5,17,13,2
48,0,0,0,2
81,1,4,5,4
63,5,28,9,0
260,6,6,10,12
348,124,19,24,63
93,0,2,2,0
818,5,27,41,10
1103,24,197,4,66
305,5,7,15,9
1539,6,164,65,15
484,8,2,31,5
